  1 loss:2.33, accuracy:0.07
  7.20 loss:0.161, accuracy:0.94
  7.21 loss:0.162, accuracy:0.97
  7.22 loss:0.155, accuracy:0.93
  7.23 loss:0.184, accuracy:0.96
  7.24 loss:0.128, accuracy:0.96
  7.25 loss:0.106, accuracy:0.97
  7.26 loss:0.101, accuracy:0.98
  7.27 loss:0.281, accuracy:0.93
  7.28 loss:0.178, accuracy:0.96
  7.29 loss:0.18, accuracy:0.96
  7.30 loss:0.101, accuracy:0.99
  7.31 loss:0.178, accuracy:0.95
  7.32 loss:0.0962, accuracy:0.99
  7.33 loss:0.169, accuracy:0.95
  7.34 loss:0.155, accuracy:0.97
  7.35 loss:0.207, accuracy:0.95
  7.36 loss:0.171, accuracy:0.95
  7.37 loss:0.151, accuracy:0.95
  7.38 loss:0.157, accuracy:0.96
  7.39 loss:0.195, accuracy:0.95
  7.40 loss:0.213, accuracy:0.93
  8. 1 loss:0.0765, accuracy:0.99
  8. 2 loss:0.149, accuracy:0.96
  8. 3 loss:0.0921, accuracy:0.96
  8. 4 loss:0.133, accuracy:0.96
  8. 5 loss:0.204, accuracy:0.95
  8. 6 loss:0.095, accuracy:0.98
  8. 7 loss:0.233, accuracy:0.91
  8. 8 loss:0.084, accuracy:0.98
  8. 9 loss:0.0992, accuracy:0.97
  8.10 loss:0.165, accuracy:0.94
  8.11 loss:0.169, accuracy:0.91
  8.12 loss:0.188, accuracy:0.96
  8.13 loss:0.164, accuracy:0.95
  8.14 loss:0.197, accuracy:0.95
  8.15 loss:0.0604, accuracy:0.98
  8.16 loss:0.116, accuracy:0.97
  8.17 loss:0.104, accuracy:0.97
  8.18 loss:0.24, accuracy:0.94
  8.19 loss:0.224, accuracy:0.93
  8.20 loss:0.139, accuracy:0.94
  8.21 loss:0.14, accuracy:0.96
  8.22 loss:0.125, accuracy:0.95
  8.23 loss:0.148, accuracy:0.95
  8.24 loss:0.109, accuracy:0.97
  8.25 loss:0.101, accuracy:0.97
  8.26 loss:0.0903, accuracy:0.98
  8.27 loss:0.231, accuracy:0.93
  8.28 loss:0.163, accuracy:0.97
  8.29 loss:0.167, accuracy:0.97
  8.30 loss:0.0856, accuracy:0.99
  8.31 loss:0.162, accuracy:0.95
  8.32 loss:0.0774, accuracy:0.99
  8.33 loss:0.159, accuracy:0.97
  8.34 loss:0.145, accuracy:0.95
  8.35 loss:0.195, accuracy:0.96
  8.36 loss:0.15, accuracy:0.95
  8.37 loss:0.132, accuracy:0.96
  8.38 loss:0.134, accuracy:0.97
  8.39 loss:0.175, accuracy:0.96
  8.40 loss:0.191, accuracy:0.94
  9. 1 loss:0.0773, accuracy:0.99
  9. 2 loss:0.141, accuracy:0.96
  9. 3 loss:0.087, accuracy:0.96
  9. 4 loss:0.108, accuracy:0.98
  9. 5 loss:0.167, accuracy:0.95
  9. 6 loss:0.0809, accuracy:1.0
  9. 7 loss:0.213, accuracy:0.91
  9. 8 loss:0.079, accuracy:0.99
  9. 9 loss:0.0968, accuracy:0.97
  9.10 loss:0.15, accuracy:0.95
  9.11 loss:0.135, accuracy:0.92
  9.12 loss:0.169, accuracy:0.97
  9.13 loss:0.149, accuracy:0.95
  9.14 loss:0.183, accuracy:0.96
  9.15 loss:0.0592, accuracy:0.98
  9.16 loss:0.107, accuracy:0.97
  9.17 loss:0.0887, accuracy:0.98
  9.18 loss:0.208, accuracy:0.95
  9.19 loss:0.206, accuracy:0.95
  9.20 loss:0.118, accuracy:0.96
  9.21 loss:0.127, accuracy:0.96
  9.22 loss:0.102, accuracy:0.97
  9.23 loss:0.125, accuracy:0.96
  9.24 loss:0.0989, accuracy:0.97
  9.25 loss:0.0862, accuracy:0.98
  9.26 loss:0.0797, accuracy:0.99
  9.27 loss:0.195, accuracy:0.94
  9.28 loss:0.145, accuracy:0.97
  9.29 loss:0.151, accuracy:0.97
  9.30 loss:0.0674, accuracy:0.99
  9.31 loss:0.144, accuracy:0.96
  9.32 loss:0.0638, accuracy:1.0
  9.33 loss:0.15, accuracy:0.97
  9.34 loss:0.124, accuracy:0.96
  9.35 loss:0.189, accuracy:0.96
  9.36 loss:0.132, accuracy:0.96
  9.37 loss:0.113, accuracy:0.97
  9.38 loss:0.115, accuracy:0.97
  9.39 loss:0.154, accuracy:0.97
  9.40 loss:0.162, accuracy:0.96
 10. 1 loss:0.0673, accuracy:0.99
 10. 2 loss:0.128, accuracy:0.96
 10. 3 loss:0.0767, accuracy:0.98
 10. 4 loss:0.093, accuracy:0.99
 10. 5 loss:0.145, accuracy:0.95
 10. 6 loss:0.0629, accuracy:1.0
 10. 7 loss:0.177, accuracy:0.94
 10. 8 loss:0.0683, accuracy:0.99
 10. 9 loss:0.0905, accuracy:0.97
 10.10 loss:0.133, accuracy:0.96
 10.11 loss:0.119, accuracy:0.94
 10.12 loss:0.165, accuracy:0.96
 10.13 loss:0.135, accuracy:0.96
 10.14 loss:0.159, accuracy:0.96
 10.15 loss:0.0586, accuracy:0.99
 10.16 loss:0.107, accuracy:0.97
 10.17 loss:0.103, accuracy:0.97
 10.18 loss:0.184, accuracy:0.95
 10.19 loss:0.175, accuracy:0.95
 10.20 loss:0.103, accuracy:0.98
 10.21 loss:0.12, accuracy:0.97
 10.22 loss:0.0924, accuracy:0.97
 10.23 loss:0.108, accuracy:0.98
 10.24 loss:0.0983, accuracy:0.98
 10.25 loss:0.084, accuracy:0.97
 10.26 loss:0.067, accuracy:0.99
 10.27 loss:0.169, accuracy:0.95
